predicted_salary,actual_salary,gender,age,race,education,years_experience,location,industry,job_level,prediction_confidence,skill_technical,skill_communication,skill_leadership,skill_analytical,performance_score
87500,92000,Male,28,White,Bachelor,5,San Francisco,Tech,Senior,0.89,8.2,7.1,6.8,8.5,87
65200,62000,Female,25,Hispanic,Bachelor,2,Austin,Marketing,Junior,0.76,6.8,8.9,6.2,7.4,82
125000,118000,Male,32,Asian,Master,8,Seattle,Tech,Lead,0.92,9.1,7.5,8.2,9.0,94
78900,85000,Female,29,Black,Bachelor,4,Atlanta,Finance,Mid,0.68,7.8,8.7,7.3,8.6,89
110000,104000,Male,35,White,Master,10,Boston,Consulting,Senior,0.85,8.5,8.8,9.1,8.9,91
71500,69000,Female,26,Asian,Bachelor,3,San Jose,Tech,Mid,0.81,8.0,7.8,6.9,8.3,85
52000,58000,Male,24,Hispanic,High School,1,Phoenix,Operations,Junior,0.71,6.5,7.2,5.8,6.9,78
95000,99000,Male,31,White,Master,7,New York,Finance,Senior,0.88,8.4,8.1,8.0,8.7,92
59800,55000,Female,27,Black,Bachelor,3,Chicago,Marketing,Mid,0.74,7.2,9.0,7.1,7.8,84
142000,138000,Female,34,Asian,PhD,12,San Francisco,Tech,Principal,0.91,9.4,8.2,8.7,9.3,96
68500,72000,Male,26,White,Bachelor,4,Denver,Sales,Mid,0.79,7.6,8.5,7.4,7.9,86
89000,91000,Male,30,Hispanic,Master,6,Los Angeles,Tech,Senior,0.86,8.3,7.9,7.8,8.4,90
61200,65000,Female,25,Black,Bachelor,2,Miami,HR,Junior,0.73,7.1,8.8,6.7,7.5,81
105000,108000,Female,33,White,Master,9,Seattle,Tech,Lead,0.89,8.8,8.4,8.5,8.9,93
74800,71000,Male,28,Asian,Bachelor,5,Portland,Operations,Mid,0.82,7.9,7.3,7.6,8.1,87
56000,53000,Male,23,Hispanic,Associate,1,Dallas,Sales,Junior,0.69,6.8,7.7,6.1,7.0,79
82500,86000,Female,30,Black,Master,6,Washington DC,Finance,Senior,0.84,8.1,8.6,7.9,8.5,88
118000,115000,Male,33,White,Master,8,Boston,Consulting,Lead,0.90,8.7,9.0,8.8,9.1,95
64800,68000,Female,26,Asian,Bachelor,3,Austin,Marketing,Mid,0.77,7.5,8.3,7.2,7.8,83
96500,94000,Male,32,Hispanic,Master,7,San Diego,Tech,Senior,0.87,8.6,7.7,8.1,8.8,91
58900,62000,Female,24,White,Bachelor,2,Nashville,Operations,Junior,0.72,7.0,8.1,6.8,7.3,80
79200,81000,Male,29,Black,Bachelor,5,Detroit,Manufacturing,Mid,0.80,7.8,7.6,7.7,8.0,86
112000,109000,Female,34,Asian,Master,9,Seattle,Tech,Lead,0.88,9.0,8.5,8.3,8.9,94
73600,76000,Male,27,White,Bachelor,4,Minneapolis,Finance,Mid,0.83,8.0,8.0,7.5,8.2,88
60500,57000,Female,25,Hispanic,Bachelor,2,Phoenix,Marketing,Junior,0.75,7.3,8.7,6.9,7.6,82
135000,131000,Male,35,Asian,PhD,11,San Francisco,Tech,Principal,0.93,9.3,8.0,8.6,9.4,97
67800,71000,Female,28,Black,Master,4,Atlanta,HR,Mid,0.78,7.7,8.9,7.8,8.3,87
54200,51000,Male,24,White,High School,1,Tampa,Operations,Junior,0.70,6.6,7.0,6.0,6.8,77
91000,88000,Female,31,Hispanic,Master,6,Houston,Finance,Senior,0.85,8.2,8.4,8.2,8.6,90
102000,105000,Male,32,Asian,Master,8,Los Angeles,Tech,Senior,0.89,8.9,7.8,8.4,8.7,92
66900,63000,Female,26,White,Bachelor,3,Portland,Sales,Mid,0.76,7.4,8.6,7.0,7.7,84
84500,87000,Male,29,Black,Master,5,Chicago,Consulting,Mid,0.81,8.3,8.2,8.0,8.5,89
70200,74000,Female,27,Hispanic,Bachelor,4,Denver,Marketing,Mid,0.79,7.6,8.5,7.4,8.0,85
126000,123000,Male,34,Asian,Master,10,Boston,Finance,Lead,0.91,8.8,8.7,8.9,9.0,95
62800,59000,Female,25,Black,Bachelor,3,Memphis,Operations,Mid,0.74,7.2,7.9,6.8,7.4,81
98500,101000,Male,31,White,Master,7,New York,Tech,Senior,0.86,8.5,8.3,8.1,8.6,91
57600,61000,Female,24,Hispanic,Bachelor,2,Las Vegas,HR,Junior,0.73,7.1,8.4,6.6,7.2,80
88000,85000,Male,30,Asian,Bachelor,6,San Jose,Tech,Mid,0.84,8.4,7.6,7.9,8.3,88
75300,78000,Female,28,White,Master,4,Baltimore,Finance,Mid,0.80,7.9,8.1,7.7,8.1,86
53800,56000,Male,23,Black,Associate,1,Columbus,Sales,Junior,0.71,6.9,7.5,6.2,7.0,78
106000,103000,Female,33,Asian,Master,8,Seattle,Tech,Senior,0.87,8.7,8.6,8.2,8.8,93
69400,72000,Male,27,Hispanic,Bachelor,4,Miami,Operations,Mid,0.78,7.7,7.8,7.3,7.9,85
81200,84000,Female,29,White,Master,5,Philadelphia,Marketing,Mid,0.82,8.0,8.7,7.6,8.2,87
115000,112000,Male,34,Asian,Master,9,San Francisco,Tech,Lead,0.90,9.0,8.1,8.5,8.9,94
63500,66000,Female,26,Black,Bachelor,3,Charlotte,HR,Mid,0.77,7.5,8.8,7.1,7.7,83
92000,89000,Male,31,White,Master,6,Boston,Consulting,Senior,0.85,8.6,8.5,8.3,8.7,91
58200,55000,Female,25,Hispanic,Bachelor,2,Indianapolis,Operations,Junior,0.72,7.0,8.0,6.7,7.3,79
121000,124000,Male,35,Asian,PhD,10,Seattle,Tech,Principal,0.92,9.2,8.3,8.8,9.1,96
72600,69000,Female,28,Black,Master,4,Washington DC,Finance,Mid,0.79,7.8,8.6,7.5,8.0,86
55900,59000,Male,24,White,High School,2,Kansas City,Manufacturing,Junior,0.70,6.7,7.1,6.3,6.9,78
87800,91000,Female,30,Hispanic,Master,6,Austin,Tech,Senior,0.84,8.1,8.2,8.0,8.4,89
