prediction,true_label,gender,age_group,race,education,income_level,years_experience,location,department,prediction_confidence,feature_communication,feature_leadership,feature_technical,feature_problem_solving,feature_teamwork
1,1,Male,25-30,White,Bachelor,75000,3,San Francisco,Engineering,0.94,7.8,6.2,9.1,8.4,7.5
0,0,Female,31-35,Hispanic,Master,68000,5,Austin,Marketing,0.23,8.9,8.1,6.2,7.8,9.2
1,1,Male,26-30,Asian,PhD,85000,2,Seattle,Engineering,0.91,6.5,7.3,9.6,9.0,6.8
1,0,Female,28-32,Black,Bachelor,62000,4,Atlanta,Sales,0.67,9.4,7.6,5.8,8.2,8.7
0,0,Male,35-40,White,Master,92000,8,Boston,Engineering,0.19,7.1,8.9,7.4,7.9,8.1
1,1,Female,25-30,Asian,Bachelor,71000,3,San Francisco,Product,0.88,8.7,8.2,7.9,8.8,9.1
0,1,Male,33-38,Hispanic,High School,45000,6,Phoenix,Operations,0.52,6.8,6.1,6.9,7.2,7.8
1,1,Male,29-34,White,Master,89000,5,New York,Engineering,0.95,7.2,7.8,9.3,8.6,7.4
0,0,Female,26-31,Black,Bachelor,58000,2,Chicago,Marketing,0.31,9.1,7.4,6.1,8.4,8.9
1,0,Female,32-37,Asian,PhD,94000,7,Seattle,Engineering,0.73,6.9,8.7,9.2,9.1,7.6
0,0,Male,27-32,White,Bachelor,76000,4,Denver,Sales,0.22,8.3,6.9,7.1,7.6,8.2
1,1,Male,30-35,Hispanic,Master,81000,6,Los Angeles,Product,0.89,7.6,8.4,8.2,8.7,8.3
0,1,Female,25-30,Black,Bachelor,64000,3,Miami,Marketing,0.48,8.8,7.2,6.4,7.9,9.0
1,1,Female,28-33,White,Master,87000,5,San Francisco,Engineering,0.92,7.4,8.1,8.9,8.5,7.9
0,0,Male,34-39,Asian,Bachelor,79000,7,Portland,Operations,0.27,7.9,7.6,7.8,8.0,8.4
1,0,Male,26-31,Hispanic,High School,52000,2,Dallas,Sales,0.71,8.1,6.4,5.9,7.3,7.7
0,0,Female,31-36,Black,Master,73000,6,Washington DC,Product,0.35,8.6,8.9,7.3,8.6,8.8
1,1,Male,29-34,White,PhD,96000,4,Boston,Engineering,0.93,6.7,7.5,9.8,9.2,7.1
0,1,Female,27-32,Asian,Bachelor,69000,3,Austin,Marketing,0.44,9.2,7.8,6.7,8.1,9.3
1,1,Male,32-37,Hispanic,Master,84000,8,San Diego,Engineering,0.87,7.3,8.6,8.8,8.9,7.8
0,0,Female,25-30,White,Bachelor,66000,2,Nashville,Sales,0.29,8.5,7.1,6.3,7.7,8.6
1,0,Male,33-38,Black,Bachelor,71000,5,Detroit,Operations,0.69,7.7,7.9,7.6,8.2,8.1
0,0,Female,28-33,Asian,Master,91000,7,Seattle,Engineering,0.24,8.2,8.7,8.4,8.8,8.9
1,1,Male,30-35,White,Bachelor,78000,4,Minneapolis,Product,0.91,7.8,8.3,7.7,8.4,8.2
0,1,Female,26-31,Hispanic,Bachelor,61000,3,Phoenix,Marketing,0.46,9.0,7.3,6.5,8.0,8.7
1,1,Male,31-36,Asian,PhD,98000,6,San Francisco,Engineering,0.96,6.8,7.7,9.7,9.3,7.2
0,0,Female,29-34,Black,Master,74000,5,Atlanta,Sales,0.33,8.7,8.2,6.8,8.3,9.1
1,0,Male,27-32,White,High School,59000,2,Tampa,Operations,0.65,7.5,6.8,6.4,7.4,7.9
0,0,Female,34-39,Hispanic,Bachelor,67000,8,Houston,Marketing,0.28,8.9,7.6,6.6,8.5,8.8
1,1,Male,28-33,Asian,Master,86000,4,Los Angeles,Engineering,0.90,7.1,8.0,9.0,8.7,7.6
0,1,Female,25-30,White,Bachelor,70000,3,Portland,Product,0.41,8.4,8.5,7.2,8.6,9.0
1,1,Male,32-37,Black,Master,82000,7,Chicago,Engineering,0.88,7.6,8.4,8.6,8.8,7.7
0,0,Female,30-35,Hispanic,Bachelor,65000,5,Denver,Sales,0.26,8.8,7.0,6.2,7.8,8.5
1,0,Male,26-31,Asian,PhD,93000,2,Boston,Engineering,0.74,6.6,7.4,9.5,9.1,7.0
0,0,Female,33-38,White,Master,88000,6,Seattle,Product,0.32,8.3,8.8,7.5,8.7,8.9
